age,priors_count,days_b_screening_arrest,c_charge_degree_F,c_charge_degree_M,c_charge_degree_O,sex_Female,sex_Male
2.861429141298748,0,-0.0015755054265253908,True,False,False,False,True
-0.07652273265288749,0,-0.0015755054265253908,True,False,False,False,True
-0.9159375537819262,4,-0.0015755054265253908,True,False,False,False,True
0.7628920884761512,0,0.012139438022832376,False,True,False,False,True
0.5110676421374396,14,-0.0015755054265253908,True,False,False,False,True
0.6789506063632473,3,-0.0015755054265253908,True,False,False,False,True
0.3431846779116319,0,-0.0015755054265253908,False,True,False,True,False
-1.2517034822335416,0,-0.0015755054265253908,True,False,False,False,True
-0.7480545895561185,0,-0.0015755054265253908,True,False,False,True,False
-1.1677620001206377,1,5.882135234347956,True,False,False,False,True
-0.6641131074432146,0,-0.0015755054265253908,True,False,False,False,True
-0.9998790358948301,3,0.012139438022832376,False,True,False,False,True
0.17530171368582412,0,0.012139438022832376,False,True,False,True,False
-1.0838205180077338,0,0.012139438022832376,False,True,False,False,True
0.5110676421374396,0,-0.0015755054265253908,True,False,False,False,True
1.0147165348148628,1,-0.2621594309643229,True,False,False,True,False
-0.3283471789915991,7,0.31386819390870324,True,False,False,False,True
0.17530171368582412,0,0.012139438022832376,False,True,False,False,True
-0.8319960716690223,3,-0.0015755054265253908,True,False,False,False,True
-0.3283471789915991,6,-0.0015755054265253908,True,False,False,False,True
-0.3283471789915991,5,-0.0015755054265253908,True,False,False,False,True
2.4417217307342285,13,-0.0015755054265253908,True,False,False,False,True
-1.1677620001206377,1,-0.0015755054265253908,True,False,False,False,True
-0.6641131074432146,0,0.012139438022832376,False,True,False,False,True
-1.1677620001206377,0,-0.015290448875883156,True,False,False,True,False
-0.9159375537819262,1,0.012139438022832376,True,False,False,False,True
0.5950091242503435,1,-1.7982330972923928,True,False,False,False,True
0.6789506063632473,1,-0.0015755054265253908,False,True,False,False,True
-0.24440569687869523,0,-0.0015755054265253908,False,True,False,False,True
1.6023069096051898,0,-0.0015755054265253908,True,False,False,True,False
0.7628920884761512,8,0.012139438022832376,False,True,False,False,True
-0.6641131074432146,8,-0.0015755054265253908,True,False,False,False,True
0.09136023157292025,3,0.739031440838794,True,False,False,True,False
-0.7480545895561185,5,-0.0015755054265253908,True,False,False,False,True
-0.16046421476579137,0,0.012139438022832376,True,False,False,False,True
-0.41228866110450296,9,0.012139438022832376,True,False,False,False,True
-0.24440569687869523,4,-0.0015755054265253908,True,False,False,False,True
2.357780248621325,0,-0.0015755054265253908,False,True,False,False,True
-0.6641131074432146,2,0.012139438022832376,True,False,False,False,True
1.6862483917180937,0,-0.0015755054265253908,True,False,False,False,True
-0.24440569687869523,15,0.012139438022832376,True,False,False,False,True
0.259243195798728,5,-0.0015755054265253908,True,False,False,False,True
1.518365427492286,19,-0.0015755054265253908,True,False,False,False,True
1.1825994990406705,7,-0.0015755054265253908,True,False,False,False,True
-0.7480545895561185,6,1.1230498574208112,False,True,False,False,True
-0.16046421476579137,4,-0.0015755054265253908,False,True,False,True,False
-0.9159375537819262,1,0.012139438022832376,False,True,False,False,True
-0.07652273265288749,21,0.012139438022832376,True,False,False,False,True
-0.4962301432174068,0,0.012139438022832376,False,True,False,False,True
-1.1677620001206377,2,-0.0015755054265253908,True,False,False,True,False
1.3504824632664783,2,-0.0015755054265253908,False,True,False,False,True
-0.4962301432174068,2,-0.0015755054265253908,False,True,False,False,True
-0.8319960716690223,0,-0.0015755054265253908,True,False,False,False,True
1.3504824632664783,7,-0.0015755054265253908,True,False,False,True,False
